Enron,default,LRC,val,AUC,[0.8252551020408164]
Enron,default,LRC,test,AUC,[0.7461734693877551]
Enron,default,LRC,val,AUC,[0.8797061524334252]
Enron,default,LRC,test,AUC,[0.7479338842975206]
Enron,default,LRC,val,AUC,[0.868896484375]
Enron,default,LRC,test,AUC,[0.766845703125]
Enron,default,LRC,val,AUC,[0.8747260774287802]
Enron,default,LRC,test,AUC,[0.8294375456537619]
Enron,default,LRC,val,AUC,[0.873620505517978]
Enron,default,LRC,test,AUC,[0.8052687789248842]
Enron,default,LRC,val,AUC,[0.9297606659729448]
Enron,default,LRC,test,AUC,[0.8022892819979188]
Enron,default,LRC,val,AUC,[0.8356139053254438]
Enron,default,LRC,test,AUC,[0.7592455621301774]
Enron,default,LRC,val,AUC,[0.8355555555555556]
Enron,default,LRC,test,AUC,[0.8902777777777777]
Enron,default,LRC,val,AUC,[0.8185714285714286]
Enron,default,LRC,test,AUC,[0.8344897959183674]
Enron,default,LRC,val,AUC,[0.8563368055555557]
Enron,default,LRC,test,AUC,[0.794704861111111]
Enron,default,LRC,val,AUC,[0.8226530612244898]
Enron,default,LRC,test,AUC,[0.8361224489795919]
Enron,default,LRC,val,AUC,[0.8325]
Enron,default,LRC,test,AUC,[0.8844444444444445]
Enron,default,LRC,val,AUC,[0.7459845330160619]
Enron,default,LRC,test,AUC,[0.6986912552052349]
Enron,default,LRC,val,AUC,[0.6813662190082646]
Enron,default,LRC,test,AUC,[0.6791064049586778]
Enron,default,LRC,val,AUC,[0.7154302950325196]
Enron,default,LRC,test,AUC,[0.7167499293053068]
Enron,default,LRC,val,AUC,[0.9084428603252395]
Enron,default,LRC,test,AUC,[0.9104477611940299]
Enron,default,LRC,val,AUC,[0.8563368055555557]
Enron,default,LRC,test,AUC,[0.7955729166666667]
